name,rating,reviews,details,highly_rated,critically_rated
Hewlett Packard Enterprise,4.2,(3.9k),IT Services & Consulting | Bangalore / Bengaluru +92 other locations,"Company Culture, Work Life Balance, Job Security","Company Culture, Work Life Balance, Job Security"
Mahindra Logistics,3.9,(3.9k),Logistics | Mumbai +221 other locations,Skill Development / Learning,Skill Development / Learning
JBM Group,4.0,(3.9k),Auto Components | Gurgaon / Gurugram +96 other locations,"Job Security, Skill Development / Learning","Job Security, Skill Development / Learning"
SBI Life Insurance Company,3.8,(3.9k),Insurance | Mumbai +581 other locations,Job Security,Job Security
Schneider Electric,4.1,(3.9k),Industrial Automation | Bangalore / Bengaluru +114 other locations,"Company Culture, Work Life Balance, Job Security","Company Culture, Work Life Balance, Job Security"
Dell,3.9,(3.9k),Consumer Electronics & Appliances | Bangalore / Bengaluru +105 other locations,"Work Life Balance, Company Culture","Work Life Balance, Company Culture"
PolicyBazaar,3.6,(3.9k),Internet | Gurgaon / Gurugram +117 other locations,Salary & Benefits,Salary & Benefits
Ecom Express,3.8,(3.9k),Logistics | Gurgaon / Gurugram +681 other locations,None,Salary & Benefits
Nagarjuna Construction Company,4.1,(3.8k),Engineering & Construction | Hyderabad / Secunderabad +254 other locations,"Job Security, Salary & Benefits, Company Culture",None
Piramal Capital Housing Finance,4.2,(3.8k),NBFC | Mumbai +360 other locations,"Company Culture, Skill Development / Learning, Salary & Benefits",None
KEC International,4.0,(3.8k),Engineering & Construction | Mumbai +280 other locations,"Job Security, Salary & Benefits, Company Culture","Job Security, Salary & Benefits, Company Culture"
Aditya Birla Fashion and Retail,4.1,(3.7k),Fashion & Textile | Bangalore / Bengaluru +251 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Hyundai Motor India Limited,4.3,(3.7k),Automobile | Chennai +269 other locations,"Job Security, Company Culture, Work Satisfaction",None
Varun Beverages,4.0,(3.7k),Beverage | New Delhi +325 other locations,"Job Security, Salary & Benefits","Job Security, Salary & Benefits"
CARS24,3.5,(3.6k),Internet | Gurgaon / Gurugram +162 other locations,None,"Job Security, Salary & Benefits"
Randstad,3.8,(3.6k),Recruitment | Hyderabad / Secunderabad +300 other locations,None,"Job Security, Salary & Benefits"
Oyo Rooms,3.3,(3.6k),Hospitality | Gurgaon / Gurugram +120 other locations,None,"Job Security, Salary & Benefits"
EY Global Delivery Services ( EY GDS),3.6,(3.6k),Accounting & Auditing | Bangalore / Bengaluru +46 other locations,Job Security,Job Security
Bajaj Auto,3.9,(3.6k),Automobile | Pune +282 other locations,None,Job Security
Deutsche Bank,3.9,(3.6k),Banking | Pune +40 other locations,"Work Life Balance, Job Security, Company Culture","Work Life Balance, Job Security, Company Culture"
L&T Finance,3.9,(3.5k),NBFC | Mumbai +529 other locations,Salary & Benefits,None
Reliance Communications,4.0,(3.5k),Telecom | Mumbai +446 other locations,"Skill Development / Learning, Company Culture, Work Life Balance","Skill Development / Learning, Company Culture, Work Life Balance"
Intas Pharmaceuticals,4.1,(3.5k),Pharma | Ahmedabad +131 other locations,"Job Security, Salary & Benefits, Work Life Balance",None
ITC Infotech,3.6,(3.5k),IT Services & Consulting | Bangalore / Bengaluru +60 other locations,None,"Job Security, Salary & Benefits, Work Life Balance"
Team Lease,3.9,(3.5k),Recruitment | Bangalore / Bengaluru +353 other locations,None,"Job Security, Salary & Benefits, Work Life Balance"
